PUMA,PUMA_INDEX
4202500,0
3702800,1
7200801,2
7200802,3
7200803,4
2801700,5
7200804,6
7200805,7
7200806,8
2400301,9
2400302,10
1900600,11
1802301,12
1802302,13
1802303,14
1802304,15
1802305,16
1802306,17
1802307,18
4804901,19
1302600,20
4804902,21
4804903,22
4804904,23
4804905,24
4800600,25
4702300,26
4202600,27
3702900,28
2900100,29
7200901,30
7200902,31
2801800,32
2400400,33
1900700,34
1802400,35
1302700,36
901300,37
4800700,38
4702401,39
4702402,40
4202701,41
4202702,42
4202703,43
3703001,44
3703002,45
2900200,46
7201001,47
7201002,48
2801900,49
2400501,50
2400502,51
2400503,52
2400504,53
2400505,54
2400506,55
2400507,56
1900800,57
1802500,58
1302800,59
1212701,60
1212702,61
1212703,62
1212704,63
4800800,64
606501,65
606502,66
606503,67
606504,68
606505,69
606506,70
606507,71
606508,72
606509,73
606510,74
606511,75
606512,76
606513,77
606514,78
606515,79
4202801,80
4202802,81
4202803,82
3703101,83
3703102,84
3703103,85
3703104,86
3703105,87
3703106,88
3703107,89
3703108,90
2900300,91
7201101,92
7201102,93
2802000,94
2400601,95
2400602,96
1900900,97
1802600,98
1302900,99
901500,100
500100,101
4800900,102
4702600,103
5530000,104
4202901,105
4202902,106
3703200,107
3400101,108
3400102,109
2900400,110
2802100,111
2400700,112
1901000,113
1802700,114
1303001,115
1303002,116
1303003,117
1303004,118
1303005,119
5104101,120
5104102,121
5104103,122
500200,123
4800100,124
4801000,125
4702700,126
606701,127
606702,128
606703,129
606704,130
606705,131
606706,132
606707,133
606708,134
606709,135
606710,136
606711,137
606712,138
4203001,139
4203002,140
4203003,141
4203004,142
3703300,143
2900500,144
2400801,145
2400802,146
2400803,147
2400804,148
2400805,149
1901100,150
1802800,151
1303101,152
1303102,153
500300,154
4801100,155
4702800,156
4203101,157
4203102,158
4203103,159
4203104,160
4203105,161
4203106,162
3703400,163
3400301,164
3400302,165
3400303,166
3400304,167
3400305,168
3400306,169
3400307,170
3400308,171
2900600,172
2400901,173
2400902,174
1901200,175
1802900,176
1303200,177
1000101,178
1000102,179
1000103,180
1000104,181
500400,182
4801200,183
4702900,184
4203201,185
4203202,186
4203203,187
3900100,188
4203204,189
4203205,190
4203206,191
4203207,192
4203208,193
4203209,194
4203210,195
3703500,196
4203211,197
3400400,198
2900700,199
2401001,200
2401002,201
2401003,202
2401004,203
2401005,204
2401006,205
2401007,206
1901300,207
1803000,208
1303300,209
1000200,210
500500,211
4801300,212
4703000,213
4203301,214
4203302,215
4203303,216
3900200,217
4203304,218
3703600,219
3400501,220
3400502,221
3400503,222
2900800,223
4957001,224
4957002,225
2401101,226
2401102,227
2401103,228
2401104,229
2401105,230
2401106,231
2401107,232
1901400,233
1803100,234
1303400,235
1000300,236
500600,237
4801400,238
4703100,239
607101,240
607102,241
607103,242
607104,243
607105,244
607106,245
607107,246
607108,247
607109,248
607110,249
607111,250
607112,251
607113,252
607114,253
607115,254
3900300,255
4203401,256
4203402,257
4203403,258
4203404,259
3703700,260
3400601,261
3400602,262
5555101,263
5555102,264
5555103,265
4806701,266
2900901,267
2900902,268
2900903,269
4806702,270
4806703,271
2401201,272
2401202,273
2401203,274
2401204,275
1901500,276
1803200,277
4702501,278
1500100,279
4702502,280
1303500,281
4702503,282
4702504,283
4702505,284
500700,285
4801501,286
4801502,287
4703201,288
4703202,289
4703203,290
4703204,291
4400101,292
4400102,293
